('YP_003982012', 138)
('YP_003981874', ('YP_003976497', '0.924816789107692'))
('YP_005395365', ('YP_005394347', '0.999999999998277'))
('YP_005623780', ('YP_005626059', '0.923947994322569'))
('YP_003978581', ('YP_003981742', '0.931400206649904'))
('YP_005623719', ('YP_005623720', '0.994670525448109'))
('YP_003980466', ('YP_003980891', '0.931251948166554'))
('YP_003980460', ('YP_003979529', '0.931572802608607'))
('YP_003980461', ('YP_003980888', '0.999999999118137'))
('YP_003980462', ('YP_003978603', '0.999999999594089'))
('YP_002728289', ('YP_002729560', '0.977359748174978'))
('YP_002729545', ('YP_002729163', '0.999976512174344'))
('YP_002728046', ('YP_002728043', '0.999930950716341'))
('YP_005394057', ('YP_005393653', '0.610274739115104'))
('YP_002728043', ('YP_002728729', '0.931238119071131'))
('YP_002728042', ('YP_002728043', '0.999254909810973'))
('YP_003976249', ('YP_003978617', '0.864613465912697'))
('YP_003978055', ('YP_003978056', '0.993940763817088'))
('YP_005625130', ('YP_005625131', '0.629248052491784'))
('YP_005623379', ('YP_005623380', '0.997816288063213'))
('YP_005623376', ('YP_005622057', '0.998435350293548'))
('YP_003978291', ('YP_003979613', '0.999948241417514'))
('YP_002728893', ('YP_002728590', '0.819623280465095'))
('YP_003980208', ('YP_003979016', '0.93120325105747'))
('YP_006797843', ('YP_006800382', '0.931214624672662'))
('YP_006797848', ('YP_006797218', '0.944919816486807'))
('YP_005624476', ('YP_005623789', '0.434835668385802'))
('YP_003979539', ('YP_003976659', '0.566032145888381'))
('YP_006798089', ('YP_006798090', '0.997036960282313'))
('YP_006798086', ('YP_006798080', '0.948560630614386'))
('YP_005624478', ('YP_005624311', '0.999951532007879'))
('YP_005624479', ('YP_005626148', '0.931510054440651'))
('YP_005624270', ('YP_005624271', '0.999829198132254'))
('YP_006800597', ('YP_006798266', '0.670118490108453'))
('YP_005393721', ('YP_005393722', '0.99464945486216'))
('YP_006800267', ('YP_006800266', '0.99465127035278'))
('YP_002728864', ('YP_002728515', '0.93120325105747'))
('YP_004956220', ('YP_004954723', '0.930680549351156'))
('YP_005393946', ('YP_005394478', '0.949762394076179'))
('YP_005623659', ('YP_005623596', '0.93120325105747'))
('YP_005624493', ('YP_005625936', '0.95364364214276'))
('YP_005625383', ('YP_005623527', '0.99460082321378'))
('YP_003980685', ('YP_003978495', '0.93120325105747'))
('YP_003980687', ('YP_003981991', '0.931532472217301'))
('YP_006799857', ('YP_006799856', '0.994585840794281'))
('YP_005393898', ('YP_005394420', '1'))
('YP_006797205', ('YP_006797204', '0.996002504836641'))
('YP_005625011', ('YP_005625009', '0.931206287529607'))
('YP_005625010', ('YP_005622035', '0.993498765189738'))
('YP_002729392', ('YP_002729391', '0.933676729205673'))
